DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,94.6%,0%
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,69.099999999999994%,5.5%
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,73.900000000000006%,2.3%
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,12%,20%
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,93.6%,3.8%
17K600,CLARA BARTON HIGH SCHOOL,60.7%,12.9%
17K625,PAUL ROBESON HIGH SCHOOL,46.6%,12.7%
18K415,SAMUEL J. TILDEN HIGH SCHOOL,59%,15.7%
18K500,CANARSIE HIGH SCHOOL,42.2%,22.5%
18K515,SOUTH SHORE HIGH SCHOOL,42.4%,39.200000000000003%
18K563,IT TAKES A VILLAGE ACADEMY,s,s
18K566,BROOKLYN GENERATION SCHOOL,s,s
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,s,s
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,s,s
18K576,VICTORY COLLEGIATE HIGH SCHOOL,s,s
18K578,BROOKLYN BRIDGE ACADEMY,14.9%,16.100000000000001%
18K589,ARTS & MEDIA PREPARATORY ACADEMY,s,s
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,s,s
18K635,OLYMPUS ACADEMY,16.8%,8.9%
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,4.3%,8.699999999999999%
19K409,EAST NEW YORK FAMILY ACADEMY,79.099999999999994%,3.3%
19K420,FRANKLIN K. LANE HIGH SCHOOL,38.299999999999997%,23.5%
19K435,THOMAS JEFFERSON HIGH SCHOOL,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,55.2%,23%
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,59.5%,10.8%
21K728,LIBERATION DIPLOMA PLUS,26.2%,12.3%
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,68.5%,8.1%
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,24.2%,8.4%
19K583,MULTICULTURAL HIGH SCHOOL,s,s
19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,65.3%,7.2%
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,s,s
19K639,BROOKLYN LAB SCHOOL,s,s
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,57.5%,7.5%
19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,43.4%,20.399999999999999%
20K445,NEW UTRECHT HIGH SCHOOL,64.3%,5.8%
20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,75.8%,6.1%
20K490,FORT HAMILTON HIGH SCHOOL,65.900000000000006%,14.2%
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,52.7%,22.5%
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,43.7%,9.9%
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,62.8%,7.1%
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,75.400000000000006%,9.199999999999999%
21K400,LAFAYETTE HIGH SCHOOL,47.7%,29.2%
21K410,ABRAHAM LINCOLN HIGH SCHOOL,57.1%,16%
21K525,EDWARD R. MURROW HIGH SCHOOL,74.8%,5.9%
21K540,JOHN DEWEY HIGH SCHOOL,57.5%,12.6%
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,s,s
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,s,s
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,42.3%,21.4%
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,67.900000000000006%,15%
22K405,MIDWOOD HIGH SCHOOL,86.8%,1.6%
22K425,JAMES MADISON HIGH SCHOOL,66.3%,13.8%
22K495,SHEEPSHEAD BAY HIGH SCHOOL,57.9%,21.8%
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,96.4%,2.4%
22K555,BROOKLYN COLLEGE ACADEMY,95.8%,0%
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,62.9%,7.1%
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,70.7%,6.5%
23K643,BROOKLYN DEMOCRACY ACADEMY,26.8%,11.3%
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,55.9%,15.1%
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,13.7%,29.1%
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,22.7%,16.5%
23K697,TEACHERS PREPARATORY HIGH SCHOOL,72.7%,3%
24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,90%,2.2%
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,80.2%,3%
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,s,s
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,96%,0%
24Q455,NEWTOWN HIGH SCHOOL,49.4%,16.2%
24Q485,GROVER CLEVELAND HIGH SCHOOL,54.2%,17.100000000000001%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,70.2%,10.6%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,48.4%,8.1%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,67.400000000000006%,9.1%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,62.1%,4.2%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,70.8%,10.7%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,74.5%,1.4%
24Q744,VOYAGES PREPARATORY,11.8%,11.8%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,59.3%,10.5%
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,85.3%,0%
25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,86.6%,1.2%
25Q425,JOHN BOWNE HIGH SCHOOL,56.1%,20.6%
25Q460,FLUSHING HIGH SCHOOL,56.5%,20.7%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,100%,0%
25Q540,QUEENS ACADEMY HIGH SCHOOL,22%,10.6%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,56.6%,8.199999999999999%
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,19.399999999999999%,11.3%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,80.099999999999994%,4.5%
26Q430,FRANCIS LEWIS HIGH SCHOOL,74.2%,5.1%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,62.8%,8.5%
26Q495,BAYSIDE HIGH SCHOOL,80.2%,6.4%
26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,83.6%,3.2%
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,71.599999999999994%,4.2%
