DBN,school_name,lat,long
25Q285,World Journalism Preparatory: A College Board School,0.7651232730005,-73.790059675999
15K519,Cobble Hill School of American Studies,0.6845791370005,-73.991093162999
24Q530,International High School at LaGuardia Community College,0.7441495360005,-73.933626740999
29Q248,Queens Preparatory Academy,0.6682322880005,-73.756839893999
09X412,Bronx High School of Business,0.8403733980005,-73.910838007999
02M600,The High School of Fashion Industries,0.7451115710005,-73.995906419999
17K528,The High School for Global Citizenship,0.6702989070005,-73.961647875999
13K605,George Westinghouse Career and Technical Education High School,0.6949444070005,-73.986035323999
30Q502,Information Technology High School,0.7479235230004,-73.946565658999
16K393,Frederick Douglass Academy IV Secondary School,0.6921337040005,-73.931503171999
27Q650,"High School for Construction Trades, Engineering and Architecture",0.6893968260005,-73.840641000999
11X418,Bronx High School for the Visual Arts,0.8514334850005,-73.865017958999
22K425,James Madison High School,0.6097584810005,-73.948451836999
16K455,Boys and Girls High School,0.6794330450005,-73.932431769999
19K409,East New York Family Academy,0.6606370240005,-73.886341649999
17K546,High School for Public Service: Heroes of Tomorrow,0.6595170060005,-73.942546498999
21K344,Rachel Carson High School for Coastal Studies,0.5821161500005,-73.972894491999
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",0.7422635150004,-73.936876120999
02M300,"Urban Assembly School of Design and Construction, The",0.7650267080005,-73.992516577999
27Q324,Rockaway Park High School for Environmental Sustainability,0.5860071870004,-73.823089443999
23K514,Frederick Douglass Academy VII High School,0.6658109120005,-73.911699644999
02M438,International High School at Union Square,0.7355194630005,-73.987604248999
20K490,Fort Hamilton High School,0.6279133730005,-74.039952337999
07X495,University Heights Secondary School,0.8181735360005,-73.911092662999
29Q492,"Mathematics, Science Research and Technology Magnet High School",0.6955363360005,-73.734918341999
02M135,The Urban Assembly School for Emergency Management,0.7633617320005,-73.990509090999
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,0.8879192140005,-73.852871613999
