DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNAT,75.3,9.3,11.1,0.9,35.2,59.9,3.1,47.2,52.8,324
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPP,92.8,80.4,0,7,16.5,72.5,1.9,55.7,44.3,316
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,88.1,17.8,20.1,2.5,25.2,70.4,1.9,42.3,57.7,473
10X434,BELMONT PREPARATORY HIGH SCHOOL,76.8,11.3,15.7,3.2,29,65.6,1.7,47.2,52.8,407
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,78.3,12.4,22.5,1.6,35.7,61.5,1.3,43.2,56.8,387
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECH,78.9,16.6,20.6,2.7,27.7,67.8,1.3,63.4,36.6,451
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,80.2,13.4,20.8,2.3,30.8,64.6,0.9,44.4,55.6,432
10X440,DEWITT CLINTON HIGH SCHOOL,74.8,19,14.9,6.7,30.8,59.6,2.1,51.1,48.9,4159
10X442,THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,74.7,3.5,7.8,0.5,27.2,69.5,2.4,40.7,59.3,423
10X445,BRONX HIGH SCHOOL OF SCIENCE,34.2,0.1,0.1,63.5,3.5,7.2,25.4,57.8,42.2,3013
10X475,JOHN F. KENNEDY HIGH SCHOOL,77.8,23.8,20.8,0.7,35.1,62.7,1.4,68.3,31.7,706
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIE,83.9,32.2,6.8,11,23,57.9,7.5,46.7,53.3,456
10X524,CROTONA INTERNATIONAL HIGH SCHOOL,60,97.6,0,2.4,12.9,80,4.7,50.6,49.4,85
10X546,BRONX THEATRE HIGH SCHOOL,73.7,9.4,15.1,0.4,28.8,69,1.8,32.1,67.9,445
10X549,DISCOVERY HIGH SCHOOL,80,20.6,17.8,2.1,20.2,75.6,1.3,52.4,47.6,529
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH,71,18.8,24.1,1.5,30.1,67.1,0.9,40,60,1162
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEG,20.8,0,1.3,16.7,10.6,18,53.8,53.8,46.2,377
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,73.9,6.1,7.4,4.8,56.8,36.3,0.5,35.3,64.7,377
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION,72.4,8.5,14.5,2.4,48.3,47.6,1.7,40.8,59.2,422
11X265,BRONX LAB SCHOOL,75.5,3.7,15.8,2.7,37.8,57.3,1.7,59.5,40.5,482
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A,63.7,6.3,18.5,2.5,63.7,32,0.7,52,48,606
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,71.8,10.2,20.2,3.6,34.9,59.5,1.3,87.3,12.7,550
11X288,COLLEGIATE INSTITUTE OF MATH AND SCIENCE,67.9,3.3,14,9.2,36.8,46.8,7,57.1,42.9,543
11X290,BRONX ACADEMY OF HEALTH CAREERS,70.8,7.7,19,3.3,52.6,41.2,1,32.7,67.3,483
11X299,ASTOR COLLEGIATE ACADEMY,64.4,7.6,21.7,5.4,35.7,46,11.8,58.6,41.4,498
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,59.2,18.3,24.1,5.8,34.9,46.5,12.7,55.2,44.8,727
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,68.7,5.2,20.9,1.9,29.2,62.3,6.4,58,42,483
11X455,HARRY S TRUMAN HIGH SCHOOL,50.6,9.2,25.1,2,51.8,43.8,1.3,60,40,1773
11X508,BRONXDALE HIGH SCHOOL,60,7.4,12.6,4.2,23.2,56.8,12.6,60,40,95
11X509,HIGH SCHOOL FOR LANGUAGE AND INNOVATION,60,84.2,2.6,14.5,11.8,64.5,7.9,50,50,76
11X513,NEW WORLD HIGH SCHOOL,79.5,80.1,1.5,12.4,13.2,70.4,3.2,50,50,402
11X514,SPORTS PROFESSIONS HIGH SCHOOL,66.7,7,20.9,1.9,58.2,37.3,1,61.3,38.7,416
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,80.3,14.4,17.8,4.1,35.9,54.1,5.6,56.7,43.3,270
11X542,PELHAM PREPARATORY ACADEMY,61,2.2,14.2,2.4,40.2,49.7,6.9,48.1,51.9,507
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,71.9,10.2,21.3,1,37.2,59.9,1,55.3,44.7,479
